Player,Age,Nation,Pos,Team,League,Preferred_Foot,Wage,Value,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Cmp,Att,Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,A-xAG,KP,1/3,PPA,CrsPA,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Rec,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,90s_Gls,90s_Ast,90s_G+A,90s_G-PK
Ahmed Al-Kassar,34.0,KSA,GK,Al Qadsiah FC,Liga MX,Right,260.000,80.000,2.0,1.0,116.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,26.0,12,3.0,2.0,1.0,1.0,0.78,-0.63,1.0,0.78,2.0,2.0,100.0,1.0,0.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Aitor Fraga,,ESP,GK,Real Sociedad de Fútbol B,La Liga,Desconocido,Sin Dato,Sin Dato,23.0,23.0,2070.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.08,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,,6,1.17,28.0,30.0,-2.0,-0.09,-0.29,30.0,1.3,87.0,60.0,67.8,7.0,6.0,10.0,6.0,26.1,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Alan Aguerre,35.0,ARG,GK,Central Cordoba SdE,Liga Argentina,Right,312.000,240.000,8.0,8.0,720.0,8.0,0.0,1.5,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.18,0.18,0.0,0.18,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,,0,1.0,3.0,6.0,-3.0,-0.37,0.0,6.0,0.75,24.0,19.0,79.2,2.0,2.0,4.0,4.0,50.0,1.0,0.0,0.0,0.0,0.12,0.12,0.0
Alberto Paleari,33.0,ITA,GK,Torino,Serie A,Right,676.000,800.000,18.0,18.0,1620.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,,9,1.22,18.0,29.0,-11.0,-0.61,0.39,29.0,1.61,72.0,45.0,62.5,6.0,4.0,8.0,7.0,38.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Aldo López,25.0,MEX,GK,SD Eibar,Segunda División,Right,52.000,625.000,22.0,17.0,1567.0,17.4,3.0,1.5,4.5,3.0,0.0,0.0,1.0,0.0,0.165,0.09,0.255,0.165,0.255,36.0,18.0,75.0,2.07,1.035,0.12,0.255,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,22.5,0.0,0.0,0.0,,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.0,18.0,2.0,4.0,0.0,0.0,0.0,5,33.0,2,1.0,21.0,30.0,-9.0,-0.52,0.93,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.11,0.06,0.17,0.11
Alejandro Zendejas,28.0,USA,GK,Vancouver Whitecaps FC,MLS,Right,52.000,220.000,15.0,11.0,1073.0,11.9,9.0,4.5,13.5,7.5,1.0,1.0,4.0,0.0,0.75,0.375,1.125,0.63,1.005,51.0,21.0,61.8,4.275,1.755,0.2249999999999999,0.54,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,4.5,0.0,0.0,0.0,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,11.0,28.0,1.0,65.0,0.0,0.0,0.0,4,34.0,0,1.94,24.0,12.0,12.0,1.01,0.7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.25,0.75,0.42
Aleksandar Jovanović,33.0,SRB,GK,Kocaelispor,Liga MX,Right,416.000,600.000,18.0,18.0,1575.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0,,0,1.28,16.0,18.0,-2.0,-0.11,0.19,18.0,1.03,48.0,32.0,66.7,6.0,5.0,7.0,6.0,33.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Alessandro Confente,27.0,ITA,GK,SS Juve Stabia,Serie B,Right,33.800,650.000,25.0,25.0,2250.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,,0,1.52,30.0,29.0,1.0,0.04,0.54,29.0,1.16,81.0,56.0,69.1,9.0,11.0,5.0,9.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Alessandro Micai,32.0,ITA,GK,Reggiana,Serie B,Right,52.000,550.000,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,,1,2.0,4.0,2.0,2.0,0.5,0.89,2.0,0.5,11.0,9.0,81.8,2.0,2.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alessandro Sorrentino,23.0,ITA,GK,Calcio Padova,Serie B,Right,41.600,1.200.000,14.0,14.0,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0,,13,1.21,15.0,17.0,-2.0,-0.14,0.09,17.0,1.21,58.0,44.0,75.9,4.0,5.0,5.0,3.0,21.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0
